# scope	name	hot-lines	total-lines	hot-normalized-characters	total-normalized-characters
skill	agent-instructions-maintenance	160	800	9576	73576
skill	codex-approval-rules-audit	160	800	13130	77130
skill	codex-skill-repo	192	800	8571	56927
skill	dependabot-pr-maintenance	160	800	9547	65161
skill	github-actions-hardening	160	800	8299	72299
skill	learning-process-review	160	800	12936	67720
skill	local-r-dataset-manifest	160	800	12112	76112
skill	notebook-inspection	160	800	7262	71262
skill	papercut-capture	160	800	11642	75642
skill	planning-workflow	160	846	12276	46191
skill	python-uv-project-workflow	160	800	9675	71136
skill	r-architecture-audit	160	800	12000	64000
skill	r-ci-hardening	160	800	12702	62523
skill	r-docs-pkgdown	160	875	10425	43058
skill	r-package-workflow	160	913	10533	50607
skill	r-performance-workflow	160	800	8913	64942
skill	r-rcpp-package	160	800	11771	67304
skill	r-test-hygiene	160	1052	8321	53130
skill	repo-bootstrap	160	800	10112	74112
skill	repo-update-preflight	160	800	12990	76990
skill	ruby-script-quality	160	800	9458	72640
skill	shell-script-quality	160	800	8172	72172
skill	skill-retro	160	827	9843	40017
skill	skill-retro-triage	178	800	9139	71334
skill	technical-writing	100	240	6000	18000
skill	uv-sandbox-workflow	160	800	7896	71896
repository	instructional-markdown	-	9023	-	450000
